x_m,y_m,w_tr_right_m,w_tr_left_m
-4.86,2.53,0.7,0.7
-4.86,2.58,0.7,0.7
-4.86,2.63,0.7,0.7
-4.86,2.68,0.7,0.7
-4.91,2.73,0.65,0.65
-4.91,2.78,0.65,0.65
-4.91,2.83,0.65,0.65
-4.91,2.88,0.65,0.65
-4.91,2.93,0.65,0.65
-4.91,2.98,0.65,0.65
-4.91,3.03,0.65,0.65
-4.91,3.08,0.65,0.65
-4.91,3.13,0.65,0.65
-4.91,3.18,0.65,0.65
-4.91,3.23,0.65,0.65
-4.91,3.28,0.65,0.65
-4.91,3.33,0.65,0.65
-4.91,3.38,0.65,0.65
-4.91,3.43,0.65,0.65
-4.91,3.48,0.65,0.65
-4.91,3.53,0.65,0.65
-4.91,3.58,0.65,0.65
-4.91,3.63,0.65,0.65
-4.91,3.68,0.65,0.65
-4.91,3.73,0.65,0.65
-4.91,3.78,0.65,0.65
-4.91,3.83,0.65,0.65
-4.91,3.88,0.65,0.65
-4.91,3.93,0.65,0.65
-4.91,3.98,0.65,0.65
-4.91,4.03,0.65,0.65
-4.91,4.08,0.65,0.65
-4.91,4.13,0.65,0.65
-4.91,4.18,0.65,0.65
-4.91,4.23,0.65,0.65
-4.91,4.28,0.65,0.65
-4.91,4.33,0.65,0.65
-4.91,4.38,0.65,0.65
-4.91,4.43,0.65,0.65
-4.91,4.48,0.65,0.65
-4.91,4.53,0.65,0.65
-4.91,4.58,0.65,0.65
-4.91,4.63,0.65,0.65
-4.91,4.68,0.65,0.65
-4.91,4.73,0.65,0.65
-4.91,4.78,0.65,0.65
-4.91,4.83,0.65,0.65
-4.91,4.88,0.65,0.65
-4.91,4.93,0.65,0.65
-4.91,4.98,0.65,0.65
-4.91,5.03,0.65,0.65
-4.91,5.08,0.65,0.65
-4.91,5.13,0.65,0.65
-4.91,5.18,0.65,0.65
-4.91,5.23,0.65,0.65
-4.91,5.28,0.65,0.65
-4.91,5.33,0.65,0.65
-4.91,5.38,0.65,0.65
-4.91,5.43,0.65,0.65
-4.91,5.48,0.65,0.65
-4.91,5.53,0.65,0.65
-4.91,5.58,0.65,0.65
-4.91,5.63,0.65,0.65
-4.91,5.68,0.65,0.65
-4.91,5.73,0.6519,0.6519
-4.91,5.78,0.6576,0.6576
-4.91,5.83,0.6671,0.6671
-4.91,5.88,0.6801,0.6801
-4.91,5.93,0.6964,0.6964
-4.91,5.98,0.7,0.7
